year,pos,nltk_freq,spacy_freq,abs_diff
1973,VERB,0.20505829804513023,0.16842223218287763,0.0366360658622526
1973,SYM,0.0,0.0,0.0
1973,X,0.0016242241429317247,0.0006163155535634245,0.0010079085893683003
1973,PROPN,0.0,0.06297624383684447,0.06297624383684447
1973,NOUN,0.2791925285689425,0.15228597041685343,0.12690655815208907
1973,.,0.0,0.0,0.0
1973,PRT,0.03463077904750855,0.0,0.03463077904750855
1973,NUM,0.00417657636753872,0.0044822949350067235,0.0003057185674680031
1973,DET,0.08579383954985788,0.08297848498431197,0.002815354565545908
1973,AUX,0.0,0.06112729717615419,0.06112729717615419
1973,PART,0.0,0.03272075302554908,0.03272075302554908
1973,PUNCT,0.0,0.00011205737337516809,0.00011205737337516809
1973,ADP,0.0886362317999884,0.08606006275212909,0.002576169047859317
1973,ADV,0.060966413365044374,0.05597265800089646,0.004993755364147916
1973,PRON,0.15238702941005858,0.17464141640519945,0.022254386995140873
1973,SCONJ,0.0,0.01910578216046616,0.01910578216046616
1973,INTJ,0.0,0.020282384580905425,0.020282384580905425
1973,CCONJ,0.0,0.030423576871358136,0.030423576871358136
1973,ADJ,0.0560937409362492,0.04779246974450919,0.008301271191740012
1973,CONJ,0.031440338766749815,0.0,0.031440338766749815
1974,VERB,0.20505970230630827,0.1802873230542546,0.024772379252053667
1974,SYM,0.0,0.0,0.0
1974,X,0.0025625647456518183,0.0006841025101299795,0.0018784622355218388
1974,PROPN,0.0,0.0566226385307583,0.0566226385307583
1974,NOUN,0.28449920942151463,0.14697679313792558,0.13752241628358905
1974,.,0.0,0.0,0.0
1974,PRT,0.03473093070170656,0.0,0.03473093070170656
1974,NUM,0.003380404558093888,0.0038941219807398834,0.0005137174226459954
1974,DET,0.0809116187776021,0.07735620691469768,0.003555411862904423
1974,AUX,0.0,0.05567541967057833,0.05567541967057833
1974,PART,0.0,0.035573330526758935,0.035573330526758935
1974,PUNCT,0.0,0.0002104930800399937,0.0002104930800399937
1974,ADP,0.09050760591025571,0.08256591064568752,0.007941695264568185
1974,ADV,0.061556076549806445,0.056570015260748306,0.0049860612890581385
1974,PRON,0.16149610163022737,0.18739146450560437,0.025895362875376998
1974,SCONJ,0.0,0.019523233173709416,0.019523233173709416
1974,INTJ,0.0,0.027521970215229175,0.027521970215229175
1974,CCONJ,0.0,0.03104772930589907,0.03104772930589907
1974,ADJ,0.043236464751104084,0.038099247487238856,0.005137217263865228
1974,CONJ,0.03205932064772913,0.0,0.03205932064772913
1975,VERB,0.20582499842737623,0.16590784920779458,0.039917149219581644
1975,SYM,0.0,0.0,0.0
1975,X,0.008680883185506699,0.0011534025374855825,0.007527480648021116
1975,PROPN,0.0,0.05044618466581679,0.05044618466581679
1975,NOUN,0.2687928539976096,0.15716627208158807,0.11162658191602154
1975,.,0.0,0.0,0.0
1975,PRT,0.02874756243316349,0.0,0.02874756243316349
1975,NUM,0.004214631691514122,0.004735020943361865,0.0005203892518477428
1975,DET,0.08517330313895703,0.07503187033327263,0.0101414328056844
1975,AUX,0.0,0.06015904813937959,0.06015904813937959
1975,PART,0.0,0.032659503429854915,0.032659503429854915
1975,PUNCT,0.0,0.00012141079341953499,0.00012141079341953499
1975,ADP,0.09133798829967918,0.08844776300613125,0.0028902252935479322
1975,ADV,0.06510662389130024,0.055120500212468886,0.009986123678831359
1975,PRON,0.15462036862301062,0.17993079584775087,0.02531042722474025
1975,SCONJ,0.0,0.018757967583318158,0.018757967583318158
1975,INTJ,0.0,0.031931038669337705,0.031931038669337705
1975,CCONJ,0.0,0.026346142172039094,0.026346142172039094
1975,ADJ,0.06064037239730767,0.05208523037698051,0.008555142020327158
1975,CONJ,0.02686041391457508,0.0,0.02686041391457508
1976,VERB,0.2049487768012092,0.18255468539022415,0.022394091410985056
1976,SYM,0.0,0.0,0.0
1976,X,0.0029110451771818843,0.0005941128814474751,0.002316932295734409
1976,PROPN,0.0,0.06070753443154199,0.06070753443154199
1976,NOUN,0.29088059116609755,0.1603564677288685,0.13052412343722905
1976,.,0.0,0.0,0.0
1976,PRT,0.04047472429043274,0.0,0.04047472429043274
1976,NUM,0.004030677937636455,0.003888738860383473,0.00014193907725298244
1976,DET,0.07848625650786542,0.07431812044288415,0.004168136064981273
1976,AUX,0.0,0.05033756413718606,0.05033756413718606
1976,PART,0.0,0.036240885768295976,0.036240885768295976
1976,PUNCT,0.0,0.0,0.0
1976,ADP,0.07551922969266081,0.07610045908722657,0.0005812293945657576
1976,ADV,0.0647147735542742,0.05865514447745072,0.006059629076823482
1976,PRON,0.15406146783854896,0.180232244126384,0.02617077628783504
1976,SCONJ,0.0,0.020955981636510936,0.020955981636510936
1976,INTJ,0.0,0.020415879017013232,0.020415879017013232
1976,CCONJ,0.0,0.029003510667026736,0.029003510667026736
1976,ADJ,0.05379835413984213,0.04563867134755604,0.008159682792286092
1976,CONJ,0.030174102894250685,0.0,0.030174102894250685
1977,VERB,0.21506066262249182,0.17671927846674182,0.03834138415575
1977,SYM,0.0,0.0,0.0
1977,X,0.0017498833411105927,0.0002818489289740699,0.0014680344121365228
1977,PROPN,0.0,0.043122886133032695,0.043122886133032695
1977,NOUN,0.2581661222585161,0.15197294250281848,0.10619317975569761
1977,.,0.0,0.0,0.0
1977,PRT,0.04030564629024732,0.0,0.04030564629024732
1977,NUM,0.0030914605692953802,0.003213077790304397,0.00012161722100901672
1977,DET,0.08562762482501167,0.08128523111612176,0.004342393708889905
1977,AUX,0.0,0.06076662908680947,0.06076662908680947
